"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
2264;"FIFO";-1;4.01388888888889;6534.41352223477;6534.41352223477;6393;6676;6591.91833957552;6678.04596655832
2337;"FIFO";-1;4.11111111111111;6535.44815595653;6535.44815595653;6395;6676;6596.03396352985;6682.13609373932
2410;"FIFO";-1;4.20833333333333;6536.36172858099;6536.36172858099;6392;6680;6600.00344534751;6686.1037645791
2483;"FIFO";-1;4.30555555555556;6537.15418929693;6537.15418929693;6397;6679;6603.8273980026;6689.94787846979
2556;"FIFO";-1;4.40277777777778;6537.82549402537;6537.82549402537;6401;6678;6607.50623696748;6693.66754865165
2629;"FIFO";-1;4.5;6538.37560542352;6538.37560542352;6398;6680;6611.04017732574;6697.26210514821
2702;"FIFO";-1;4.59722222222222;6538.80449288836;6538.80449288836;6401;6681;6614.42923184606;6700.73109673909
2775;"FIFO";-1;4.69444444444445;6539.11213255939;6539.11213255939;6397;6679;6617.67320994934;6704.07429203776
2848;"FIFO";-1;4.79166666666667;6539.29850732099;6539.29850732099;6396;6679;6620.77171753174;6707.29167971198
2921;"FIFO";-1;4.88888888888889;6539.36360680383;6539.36360680383;6402;6680;6623.72415763599;6710.38346785374
2994;"FIFO";-1;4.98611111111111;6539.30742738592;6539.30742738592;6399;6679;6626.52973199529;6713.35008247564
3067;"FIFO";-1;5.08333333333333;6539.12997219298;6539.12997219298;6398;6680;6629.18744350174;6716.19216508029
3140;"FIFO";-1;5.18055555555556;6538.83125109803;6538.83125109803;6395;6678;6631.69609968003;6718.91056922343
3213;"FIFO";-1;5.27777777777778;6538.41128072062;6538.41128072062;6398;6683;6634.05431726883;6721.50635596725
3286;"FIFO";-1;5.375;6537.87008442521;6537.87008442521;6397;6678;6636.26052803114;6723.98078810307
3359;"FIFO";-1;5.47222222222222;6537.20769231898;6537.20769231898;6395;6678;6638.31298592657;6726.3353230105
3432;"FIFO";-1;5.56944444444445;6536.4241412491;6536.4241412491;6398;6675;6640.20977578176;6728.57160401677
3505;"FIFO";-1;5.66666666666667;6535.51947479926;6535.51947479926;6394;6678;6641.94882358952;6730.69145012542
3578;"FIFO";-1;5.76388888888889;6534.49374328569;6534.49374328569;6392;6676;6643.52790855086;6732.69684400058
3651;"FIFO";-1;5.86111111111111;6533.34700375244;6533.34700375244;6391;6674;6644.94467694575;6734.58991812058
3724;"FIFO";-1;5.95833333333333;6532.0793199661;6532.0793199661;6391;6673;6646.19665787803;6736.37293905594
3797;"FIFO";-1;6.05555555555556;6530.69076240993;6530.69076240993;6387;6672;6647.28128088732;6738.04828987836
3870;"FIFO";-1;6.15277777777778;6529.1814082773;6529.1814082773;6391;6672;6648.19589535756;6739.61845077166
3943;"FIFO";-1;6.25;6527.55134146452;6527.55134146452;6387;6669;6648.93779157867;6741.08597798734
4016;"FIFO";-1;6.34722222222222;6525.80065256314;6525.80065256314;6385;6669;6649.50422324079;6742.45348136649
4089;"FIFO";-1;6.44444444444445;6523.92943885141;6523.92943885141;6383;6665;6649.89243105934;6743.72360072846
4162;"FIFO";-1;6.54166666666667;6521.93780428548;6521.93780428548;6379;6665;6650.09966715438;6744.89898150408
4235;"FIFO";-1;6.63888888888889;6519.82585948957;6519.82585948957;6378;6663;6650.12321973948;6745.98225005713
4308;"FIFO";-1;6.73611111111111;6517.59372174589;6517.59372174589;6375;6663;6649.9604376243;6746.97598919061
4381;"FIFO";-1;6.83333333333333;6515.2415149837;6515.2415149837;6372;6659;6649.60875400262;6747.88271436591
4454;"FIFO";-1;6.93055555555556;6512.76936976783;6512.76936976783;6371;6654;6649.06570898969;6748.70485117038
4527;"FIFO";-1;7.02777777777778;6510.17742328664;6510.17742328664;6367;6656;6648.32897039272;6749.44471455091
4600;"FIFO";-1;7.125;6507.46581933934;6507.46581933934;6364;6651;6647.39635224257;6750.10449028342
4673;"FIFO";-1;7.22222222222222;6504.6347083227;6504.6347083227;6361;6644;6646.26583068786;6750.68621907927
4746;"FIFO";-1;7.31944444444445;6501.68424721705;6501.68424721705;6360;6644;6644.93555694233;6751.19178363581
4819;"FIFO";-1;7.41666666666667;6498.61459957191;6498.61459957191;6356;6645;6643.40386708491;6751.62289883309
4892;"FIFO";-1;7.51388888888889;6495.42593549081;6495.42593549081;6352;6643;6641.66928862518;6751.9811051629
4965;"FIFO";-1;7.61111111111111;6492.11843161554;6492.11843161554;6347;6637;6639.73054386269;6752.26776536269
5038;"FIFO";-1;7.70833333333333;6488.69227110995;6488.69227110995;6344;6638;6637.58655017505;6752.48406411847
5111;"FIFO";-1;7.80555555555556;6485.14764364295;6485.14764364295;6337;6632;6635.23641746483;6752.63101060771
5184;"FIFO";-1;7.90277777777778;6481.48474537104;6481.48474537104;6337;6625;6632.67944307;6752.70944357632
5257;"FIFO";-1;8;6477.70377892025;6477.70377892025;6332;6629;6629.91510449834;6752.72003859044
2;"FIFO";-0.972222222222222;1;6450.98248403445;6450.98248403445;6307;6598;6389.00897969892;6506.20394333039
75;"FIFO";-0.972222222222222;1.09722222222222;6455.72664596374;6455.72664596374;6313;6603;6398.49014704356;6512.96314488393
148;"FIFO";-0.972222222222222;1.19444444444444;6460.35448156143;6460.35448156143;6316;6603;6407.78153164848;6519.66629761354
221;"FIFO";-0.972222222222222;1.29166666666667;6464.86573572194;6464.86573572194;6320;6612;6416.8827143092;6526.31285687229
294;"FIFO";-0.972222222222222;1.38888888888889;6469.26015964774;6469.26015964774;6330;6613;6425.79344893819;6532.90211897195
367;"FIFO";-0.972222222222222;1.48611111111111;6473.53751087228;6473.53751087228;6330;6614;6434.51367531872;6539.43320852468
440;"FIFO";-0.972222222222222;1.58333333333333;6477.69755328226;6477.69755328226;6338;6622;6443.04353023558;6545.90506740647
513;"FIFO";-0.972222222222222;1.68055555555556;6481.74005713942;6481.74005713942;6341;6624;6451.38335647059;6552.3164458543
586;"FIFO";-0.972222222222222;1.77777777777778;6485.66479910157;6485.66479910157;6342;6629;6459.53370916841;6558.66589619163
659;"FIFO";-0.972222222222222;1.875;6489.47156224325;6489.47156224325;6350;6633;6467.49535912468;6564.95176963048
